company_name,owner_name,trade_type,location,website_url,overall_rating,feedback_pct,review_count,years_experience,phone,verification_status,services,profile_url,source_platform
Gh Electrical,,Electrician,,,,,276,,,,,https://www.mybuilder.com/profile/gh_electrical_92,mybuilder
handrei,,Electrician,,,,,56,,,,,https://www.mybuilder.com/profile/andreihagiu,mybuilder
PH Electrical Services,,Electrician,,,,,6,,,,,https://www.mybuilder.com/profile/ph-electrical-services,mybuilder
Horakty Electrical and Renewable energy contractors,,Electrician,,,,,85,,,,,https://www.mybuilder.com/profile/horakty_electrical_and_renewable_energy_contractors,mybuilder
Alexander james electrical services,,Electrician,,,,,11,,,,,https://www.mybuilder.com/profile/alexander_james_electrical_services,mybuilder
Hyde's Electrical,,Electrician,,,,,47,,,,,https://www.mybuilder.com/profile/hydes_electrical,mybuilder
stevens,,Electrician,,,,,54,,,,,https://www.mybuilder.com/profile/stevens,mybuilder
Local Electrician,,Electrician,,,,,608,,,,,https://www.mybuilder.com/profile/local_electrician,mybuilder
Patterson Electrical,,Electrician,,,,,172,15,,,,https://www.mybuilder.com/profile/patterson_electrical,mybuilder
JM Services,,Electrician,,,,,76,,,,,https://www.mybuilder.com/profile/nu1homecare,mybuilder
Eden Electrical,,Electrician,,,,,40,,,,,https://www.mybuilder.com/profile/eden_electrical,mybuilder
One Call Electrical,,Electrician,,,,,3,,,,,https://www.mybuilder.com/profile/one_call_electrical,mybuilder
jbelectricaldata,,Electrician,,,,,514,,,,,https://www.mybuilder.com/profile/jbelectricaldata,mybuilder
Jobin,,Electrician,,,,,64,,,,,https://www.mybuilder.com/profile/jobin_73,mybuilder
SK Electrical Services (UK) Ltd,,Electrician,,,,,165,,,,,https://www.mybuilder.com/profile/sajmir,mybuilder
Taylor Made Electrical Services Ltd,,Electrician,,,,,24,,,,,https://www.mybuilder.com/profile/taylor_made_electrical_services_ltd,mybuilder
INTECH Electrical,,Electrician,,,,,7,,,,,https://www.mybuilder.com/profile/intech_electrical,mybuilder
Route Electrical Ltd,,Electrician,,,,,15,15,,,,https://www.mybuilder.com/profile/route_electrical_ltd,mybuilder
