company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,profile_url,source_platform
Casalia Refurbishment (Casalia Group),,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/casalia-refurbishment-casalia-group/2zna4/,bark
TSGas Ltd,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/tsgas-ltd/90O0J/,bark
2D Tiling,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/2d-tiling/BRjl7/,bark
Serene Heat,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/serene-heat/vpMwM/,bark
W.t. Bathroom and interior  desighn specialists,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/wt-bathroom-and-interior--desighn-specialists/n9k3L/,bark
Dan Ks maintenance,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/dan-ks-maintenance/7zR1O/,bark
Reading Bathrooms and Kitchens,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/reading-bathrooms-and-kitchens-/Pw9Qy/,bark
Kitchen Restyle,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/kitchen-restyle/1lBgV/,bark
Fanni Bickell design,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/fanni-bickell-design/LLjqz/,bark
Enhanced Spaces,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/enhanced-spaces/gVYXl/,bark
Anderson Plumbers LTD,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/anderson-plumbers-ltd/wgko4/,bark
AVL PLUMBING & HEATING 07340 228918,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/avl-plumbing-amp-heating-07340228918/6d8qP/,bark
Alex goddard,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/alex-goddard/akpPX/,bark
Amore bathrooms and Kitchens,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/amore-bathrooms-and-kitchens-/YPv6/,bark
CamCal Engineering Limited,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/camcal-engineering-limited/1MwVX/,bark
Neptune Tiling and Plumbing,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/neptune-tiling-and-plumbing/a833O/,bark
Thermo-Flow Energy Ltd,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/thermo-flow-energy-ltd/E1KlK/,bark
MaxLee Group Ltd,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/maxlee-group-ltd/Y42el/,bark
Inner Heat,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/inner-heat/g63KP/,bark
Movement Construction LTD,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/movement-construction-ltd/XvgMq/,bark
Up2fix Property Care,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/up2fix-property-care/1Klaq/,bark
Adrian,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/adrian/2jK0a/,bark
