company_name,owner_name,trade_type,location,website_url,overall_rating,quality_rating,reliability_rating,communication_rating,review_count,years_on_checkatrade,vat_number,is_ltd,free_estimates,emergency_callout,profile_url,handle
"Mansfield Insulation","Mr Daniel","Insulation","Nottinghamshire","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9.97,10,10,9.9,26,3,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/mansfieldinsulation",mansfieldinsulation
"South Wales Insulation & Damp proof Specialists","Mr Charles","Insulation","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",8.83,9.25,9,8.25,9,2,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/southwalesinsulationdampproofspecialists",southwalesinsulationdampproofspecialists
"Bouldrewood","Mr Nicholas","Insulation","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9.96,9.95,10,9.95,19,1,"",Yes,No,Yes,"https://www.checkatrade.com/trades/bouldrewood",bouldrewood
"Dowling Building Solutions Ltd","Mr Nicholas","Insulation","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",10,10,10,10,17,7,"276686349",Yes,No,Yes,"https://www.checkatrade.com/trades/dowlingbuildingsolutions",dowlingbuildingsolutions
"Westbrook Insulation","Mr Daniel","Insulation","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9.9,,,,63,,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/westbrookinsulation",westbrookinsulation
"Warmcare Insulation Ltd","Mr Vincent","Insulation","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9.81,9.78,9.89,9.78,97,2,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/warmcareinsulationltd",warmcareinsulationltd
"LMG HOME IMPROVEMENTS LIMITED","Mrs. Louise Mcallen","Insulation","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",8.83,,,,28,6,"",Yes,No,Yes,"https://www.checkatrade.com/trades/lmghomeimprovementslimited933643",lmghomeimprovementslimited933643
"Cozzy Insulation and Boarding","Mr James","Insulation","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",10,10,10,10,38,3,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/cozzyinsulationandboarding",cozzyinsulationandboarding
"MK Insulation","Mr Marcel","Insulation","Exmouth and","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",10,,,,1,,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/mkinsulation",mkinsulation
"Karnheath Ltd","Mrs. Susan Stephens","Insulation","Newcastle upon","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",10,10,10,10,72,8,"297645306",Yes,Yes,Yes,"https://www.checkatrade.com/trades/karnheath",karnheath
